time,x,y,z,yaw,pitch,roll,speed
0,3.86916,-144.571,7.60E-09,1.32461,1.31E-08,-5.49E-09,20
0.02,3.96471,-144.184,0,1.33606,0,0,19.96
0.04,4.05359,-143.795,0,1.35458,0,0,19.92
0.06,4.13554,-143.406,0,1.37236,0,0,19.88
0.08,4.21069,-143.017,0,1.38936,0,0,19.84
0.1,4.2786,-142.627,0,1.4055,0,0,19.8
0.12,4.34049,-142.236,0,1.42087,0,0,19.76
0.14,4.39665,-141.846,0,1.43546,0,0,19.72
0.16,4.44723,-141.456,0,1.44926,0,0,19.68
0.18,4.49201,-141.065,0,1.46217,0,0,19.64
0.2,4.53201,-140.675,0,1.47431,0,0,19.6
0.22,4.56751,-140.286,0,1.48568,0,0,19.56
0.24,4.59882,-139.897,0,1.49629,0,0,19.52
0.26,4.62568,-139.508,0,1.50603,0,0,19.48
0.28,4.64895,-139.12,0,1.51502,0,0,19.44
0.3,4.66895,-138.732,0,1.52326,0,0,19.4
0.32,4.68595,-138.346,0,1.53313,0,0,19.36
0.34,4.69931,-137.959,0,1.53841,0,0,19.32
0.36,4.71139,-137.574,0,1.5432,0,0,19.28
0.38,4.72065,-137.189,0,1.54844,0,0,19.24
0.4,4.72815,-136.805,0,1.55297,0,0,19.2
0.42,4.73442,-136.422,0,1.55702,0,0,19.16
0.44,4.73864,-136.04,0,1.5607,0,0,19.12
0.46,4.74221,-135.658,7.30E-09,1.56358,-1.31E-08,5.49E-09,19.08
0.48,4.74439,-135.278,7.30E-09,1.56408,-1.31E-08,5.49E-09,19.04
0.5,4.74656,-134.898,7.30E-09,1.56458,-1.31E-08,5.49E-09,19
0.52,4.74873,-134.518,7.30E-09,1.56508,-1.31E-08,5.49E-09,18.96
0.54,4.75086,-134.14,7.30E-09,1.56475,-1.31E-08,5.49E-09,18.92
0.56,4.75297,-133.762,0,1.56431,0,0,18.88
0.58,4.75508,-133.386,7.30E-09,1.56387,-1.31E-08,5.49E-09,18.84
0.6,4.75803,-133.01,7.60E-09,1.56195,-1.31E-08,-5.49E-09,18.8
0.62,4.76188,-132.634,2.99E-10,1.55847,-2.63E-08,-1.10E-08,18.76
0.64,4.76738,-132.26,2.99E-10,1.55468,-2.63E-08,-1.10E-08,18.72
0.66,4.77353,-131.886,2.99E-10,1.55073,-2.63E-08,-1.10E-08,18.68
0.68,4.78229,-131.514,2.99E-10,1.54574,-2.63E-08,-1.10E-08,18.64
0.7,4.79231,-131.142,-7.30E-09,1.54034,-1.31E-08,-5.49E-09,18.6
0.72,4.80456,-130.771,-7.30E-09,1.53423,-1.31E-08,-5.49E-09,18.56
0.74,4.81952,-130.401,-7.30E-09,1.52866,-1.31E-08,-5.49E-09,18.52
0.76,4.83595,-130.032,-7.60E-09,1.52339,-1.31E-08,5.49E-09,18.48
0.78,4.85584,-129.663,-7.60E-09,1.51236,-1.31E-08,5.49E-09,18.44
0.8,4.87902,-129.296,-7.60E-09,1.50362,-1.31E-08,5.49E-09,18.4
0.82,4.90542,-128.93,-7.60E-09,1.49423,-1.31E-08,5.49E-09,18.36
0.84,4.93524,-128.565,-7.60E-09,1.4842,-1.31E-08,5.49E-09,18.32
0.86,4.9687,-128.201,-7.60E-09,1.47353,-1.31E-08,5.49E-09,18.28
0.88,5.006,-127.838,-7.60E-09,1.46222,-1.31E-08,5.49E-09,18.24
0.9,5.04735,-127.476,0,1.45027,0,0,18.2
0.92,5.09347,-127.116,0,1.43763,0,0,18.16
0.94,5.14407,-126.757,2.92E-08,1.42436,4.50E-14,2.20E-08,18.12
0.96,5.19933,-126.4,2.92E-08,1.41048,4.50E-14,2.20E-08,18.08
0.98,5.25945,-126.044,2.92E-08,1.39599,4.50E-14,2.20E-08,18.04
1,5.32459,-125.69,2.92E-08,1.38092,4.50E-14,2.20E-08,18
1.02,5.39493,-125.338,2.92E-08,1.36527,4.50E-14,2.20E-08,17.96
1.04,5.47061,-124.987,2.92E-08,1.34906,4.50E-14,2.20E-08,17.92
1.06,5.55238,-124.639,2.92E-08,1.33318,4.50E-14,2.20E-08,17.88
