time,x,y,z,yaw,pitch,roll,speed
0,-16.2773,128.756,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.02,-16.2773,128.756,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.04,-16.2772,128.755,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.06,-16.2772,128.755,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.08,-16.2771,128.755,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.1,-16.277,128.754,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.12,-16.2769,128.753,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.14,-16.2768,128.752,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.16,-16.2767,128.751,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.18,-16.2765,128.75,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.2,-16.2764,128.749,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.22,-16.2762,128.748,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.24,-16.276,128.746,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.26,-16.2758,128.745,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.28,-16.2756,128.743,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.3,-16.2753,128.741,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.32,-16.275,128.74,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.34,-16.2748,128.738,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.36,-16.2745,128.735,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.38,-16.2741,128.733,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.4,-16.2738,128.731,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.42,-16.2735,128.728,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.44,-16.2731,128.726,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.46,-16.2727,128.723,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.48,-16.2723,128.72,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.5,-16.2719,128.717,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.52,-16.2715,128.714,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.54,-16.271,128.711,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.56,-16.2706,128.707,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.58,-16.2701,128.704,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.6,-16.2696,128.7,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.62,-16.2691,128.697,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.64,-16.2685,128.693,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.66,-16.268,128.689,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.68,-16.2674,128.685,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.7,-16.2668,128.681,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.72,-16.2662,128.677,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.74,-16.2656,128.672,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.76,-16.265,128.668,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.78,-16.2644,128.663,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.8,-16.2637,128.658,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.82,-16.263,128.653,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.84,-16.2623,128.648,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.86,-16.2616,128.643,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.88,-16.2609,128.638,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.9,-16.2601,128.633,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.92,-16.2594,128.627,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.94,-16.2586,128.622,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.96,-16.2578,128.616,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
0.98,-16.257,128.61,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1,-16.2561,128.604,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.02,-16.2553,128.598,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.04,-16.2544,128.592,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.06,-16.2536,128.586,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.08,-16.2527,128.579,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.1,-16.2518,128.573,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.12,-16.2508,128.566,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.14,-16.2499,128.559,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.16,-16.2489,128.552,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.18,-16.2479,128.545,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.2,-16.2469,128.538,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.22,-16.2459,128.531,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.24,-16.2449,128.524,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
1.26,-16.2439,128.516,7.30E-09,-1.43215,1.31E-08,5.49E-09,0.00E+00
