time,x,y,z,yaw,pitch,roll,speed
0,-16.2773,128.756,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.02,-16.277,128.754,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.04,-16.2767,128.751,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.06,-16.2764,128.749,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.08,-16.276,128.747,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.1,-16.2757,128.744,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.12,-16.2753,128.741,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.14,-16.2749,128.739,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.16,-16.2745,128.736,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.18,-16.2741,128.733,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.2,-16.2736,128.729,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.22,-16.2732,128.726,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.24,-16.2727,128.723,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.26,-16.2722,128.719,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.28,-16.2717,128.715,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.3,-16.2712,128.712,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.32,-16.2706,128.708,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.34,-16.2701,128.704,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.36,-16.2695,128.7,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.38,-16.2689,128.695,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
0.4,-16.2683,128.691,7.30E-09,-1.43215,1.31E-08,5.49E-09,1.00E-01
