time,x,y,z,yaw,pitch,roll,speed
0,-16.2773,128.756,7.30E-09,-1.43215,1.31E-08,5.49E-09,2.00E+01
0.02,-16.2221,128.36,7.30E-09,-1.43215,1.31E-08,5.49E-09,2.00E+01
0.04,-16.1671,127.966,1.52E-08,-1.43215,-2.25E-14,-1.10E-08,2.00E+01
0.06,-16.1121,127.572,2.25E-08,-1.43215,-1.31E-08,-5.49E-09,2.00E+01
0.08,-16.0573,127.179,1.49E-08,-1.43215,-2.63E-08,2.31E-15,2.00E+01
0.1,-16.0025,126.787,1.49E-08,-1.43215,-2.63E-08,2.31E-15,2.00E+01
0.12,-15.9479,126.395,1.49E-08,-1.43215,-1.52E-20,-9.89E-15,2.00E+01
0.14,-15.8934,126.005,1.49E-08,-1.43215,-1.53E-20,-9.89E-15,2.00E+01
0.16,-15.839,125.615,1.49E-08,-1.43215,-1.52E-20,-9.89E-15,2.00E+01
0.18,-15.7847,125.226,7.30E-09,-1.43215,-1.31E-08,5.49E-09,2.00E+01
0.2,-15.7305,124.838,1.49E-08,-1.43215,-2.63E-08,2.31E-15,2.00E+01
0.22,-15.6765,124.45,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,2.00E+01
0.24,-15.6225,124.064,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,2.00E+01
0.26,-15.5687,123.678,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,2.00E+01
0.28,-15.5149,123.293,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,2.00E+01
0.3,-15.4613,122.908,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,2.00E+01
0.32,-15.4078,122.525,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,2.00E+01
0.34,-15.3544,122.142,7.60E-09,-1.43215,-1.31E-08,-5.49E-09,2.00E+01
0.36,-15.3011,121.76,0,-1.43215,0,0,2.00E+01
0.38,-15.2479,121.379,-7.30E-09,-1.43215,1.31E-08,-5.49E-09,2.00E+01
0.4,-15.1949,120.999,0,-1.43215,0,0,2.00E+01
0.42,-15.1419,120.619,0,-1.43215,0,0,2.00E+01
0.44,-15.089,120.241,0,-1.43215,0,0,2.00E+01
0.46,-15.0363,119.863,0,-1.43215,0,0,2.00E+01
0.48,-14.9837,119.486,0,-1.43215,0,0,2.00E+01
0.5,-14.9312,119.109,0,-1.43215,0,0,2.00E+01
0.52,-14.8787,118.734,-7.60E-09,-1.43215,1.31E-08,5.49E-09,2.00E+01
0.54,-14.8264,118.359,0,-1.43215,0,0,2.00E+01
0.56,-14.7743,117.985,0,-1.43215,0,0,2.00E+01
0.58,-14.7222,117.612,0,-1.43215,0,0,2.00E+01
0.6,-14.6702,117.239,0,-1.43215,0,0,2.00E+01
0.62,-14.6184,116.868,0,-1.43215,0,0,2.00E+01
0.64,-14.5666,116.497,0,-1.43215,0,0,2.00E+01
0.66,-14.515,116.127,0,-1.43215,0,0,2.00E+01
0.68,-14.4635,115.758,0,-1.43215,0,0,2.00E+01
0.7,-14.412,115.389,0,-1.43214,0,0,2.00E+01
0.72,-14.3607,115.022,0,-1.43214,0,0,2.00E+01
0.74,-14.3096,114.655,0,-1.43214,0,0,2.00E+01
0.76,-14.2585,114.289,0,-1.43214,0,0,2.00E+01
0.78,-14.2075,113.923,0,-1.43214,0,0,2.00E+01
0.8,-14.1566,113.559,0,-1.43214,0,0,2.00E+01
0.82,-14.1059,113.195,0,-1.43214,0,0,2.00E+01
0.84,-14.0553,112.832,0,-1.43214,0,0,2.00E+01
0.86,-14.0047,112.47,7.30E-09,-1.43214,-1.31E-08,5.49E-09,2.00E+01
0.88,-13.9543,112.109,7.30E-09,-1.43214,-1.31E-08,5.49E-09,2.00E+01
0.9,-13.904,111.748,7.30E-09,-1.43214,-1.31E-08,5.49E-09,2.00E+01
0.92,-13.8538,111.389,7.30E-09,-1.43214,-1.31E-08,5.49E-09,2.00E+01
